NameOfMedicine;InternationalName;ActiveSubstance;Therapeutic;URL
Intanza;influenza vaccine (split virion, inactivated);influenza virus (inactivated, split) of the following strains:A/California/7/2009 (H1N1)pdm09 - like strain (A/California/7/2009, NYMC X-179A)A/Hong Kong/4801/2014 (H3N2) - like strain (A/Hong Kong/4801/2014, NYMC X-263B)B/Brisbane/60/2008 - like strain (B/Brisbane/60/2008, wild type);Prophylaxis of influenza in individuals 60 years of age and over, especially in those who run an increased risk of associated complications.The use of Intanza should be based on official recommendations.;https://www.ema.europa.eu/en/medicines/human/EPAR/intanza
Pexion;imepitoin;imepitoin;For the reduction of the frequency of generalised seizures due to idiopathic epilepsy in dogs for use after careful evaluation of alternative treatment options.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/pexion
Pexion;imepitoin;imepitoin;For the reduction of the frequency of generalised seizures due to idiopathic epilepsy in dogs for use after careful evaluation of alternative treatment options.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/pexion
Numient;"levodopa;carbidopa";"levodopa;carbidopa";Symptomatic treatment of adult patients with Parkinson’s disease;https://www.ema.europa.eu/en/medicines/human/EPAR/numient
Ariclaim;duloxetine;duloxetine;Treatment of diabetic peripheral neuropathic pain. Ariclaim is indicated in adults.;https://www.ema.europa.eu/en/medicines/human/EPAR/ariclaim
Restaysis;ciclosporin;ciclosporin;For the treatment of moderate dry eye disease in adults.;https://www.ema.europa.eu/en/medicines/human/EPAR/restaysis
Clopidogrel HCS;clopidogrel;clopidogrel (as hydrochloride);Secondary prevention of atherothrombotic events Clopidogrel is indicated in:  Adult patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease. Adult patients suffering from acute coronary syndrome:  Non-ST segment elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction), including patients undergoing a stent placement following percutaneous coronary intervention, in combination with acetylsalicylic acid (ASA). ST segment elevation acute myocardial infarction, in combination with ASA in medically treated patients eligible for thrombolytic therapy.    Prevention of atherothrombotic and thromboembolic events in atrial fibrillationIn adult patients with atrial fibrillation who have at least one risk factor for vascular events, are not suitable for treatment with Vitamin K antagonists (VKA) and who have a low bleeding risk, clopidogrel is indicated in combination with ASA for the prevention of atherothrombotic and thromboembolic events, including stroke.   For further information please refer to section 5.1.;https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-hcs
Victrelis;boceprevir;Boceprevir;Victrelis is indicated for the treatment of chronic hepatitis-C (CHC) genotype-1 infection, in combination with peginterferon alfa and ribavirin, in adult patients with compensated liver disease who are previously untreated or who have failed previous therapy.;https://www.ema.europa.eu/en/medicines/human/EPAR/victrelis
Alsitek;masitinib;Masitinib mesilate;Treatment of amyotrophic lateral sclerosis.;https://www.ema.europa.eu/en/medicines/human/EPAR/alsitek
Raligize;;;Treatment of cervical cancer;https://www.ema.europa.eu/en/medicines/human/EPAR/raligize
Certifect;fipronil / amitraz / (S)-methoprene;"fipronil;amitraz;(S)-methoprene";Treatment and prevention of infestations in dogs by ticks (Ixodes ricinus, Dermacentor reticulatus, Rhipicephalus sanguineus, Ixodes scapularis, Dermacentor variabilis, Haemaphysalis elliptica, Haemaphysalis longicornis, Amblyomma americanum and Amblyomma maculatum) and fleas (Ctenocephalides felis and Ctenocephalides canis). Treatment of infestations by chewing lice (Trichodectes canis). Prevention of environmental flea contamination by inhibiting the development of all flea immature stages. The product can be used as part of a treatment strategy for the control of flea-allergy dermatitis. Elimination of fleas and ticks within 24 hours. One treatment prevents further infestations for five weeks by ticks and for up to five weeks by fleas. The treatment indirectly reduces the risk of transmission of tick-borne diseases (canine babesiosis, monocytic ehrlichiosis, granulocytic anaplasmosis and borreliosis) from infected ticks for four weeks.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/certifect
Xeljanz;tofacitinib;Tofacitinib;Treatment of rheumatoid arthritis.;https://www.ema.europa.eu/en/medicines/human/EPAR/xeljanz-0
Dany's BienenWohl;oxalic acid dihydrate;oxalic acid dihydrate;For the treatment of varroosis (Varroa destructor) of honey bees (Apis mellifera) in brood-free colonies.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/danys-bienenwohl
Dany's BienenWohl;oxalic acid dihydrate;oxalic acid dihydrate;For the treatment of varroosis (Varroa destructor) of honey bees (Apis mellifera) in brood-free colonies.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/danys-bienenwohl
Topotecan Teva;topotecan;topotecan;"Topotecan monotherapy is indicated for the treatment of:  patients with metastatic carcinoma of the ovary after failure of first line or subsequent therapy; patients with relapsed small cell lung cancer [SCLC] for whom re-treatment with the first-line regimen is not considered appropriate.  Topotecan in combination with cisplatin is indicated for patients with carcinoma of the cervix recurrent after radiotherapy and for patients with Stage IVB disease. Patients with prior exposure to cisplatin require a sustained treatment free interval to justify treatment with the combination.";https://www.ema.europa.eu/en/medicines/human/EPAR/topotecan-teva
Rotigotine Mylan;rotigotine;rotigotine;Treatment of idiopathic Restless Legs Syndrome and Parkinson's disease.;https://www.ema.europa.eu/en/medicines/human/EPAR/rotigotine-mylan
Maci;matrix-applied characterised autologous cultured chondrocytes;autologous cultured chondrocytes;Repair of symptomatic cartilage defects of the knee.;https://www.ema.europa.eu/en/medicines/human/EPAR/maci
Prohippur;;Sodium benzoate;Treatment of non ketotic hyperglycinemia, urea cycle disorders including carbamoyl-phosphate synthase-1 deficiency, ornithine transcarbamylase deficiency, citrullinaemia type 1, argininosuccinic aciduria, hyperargininaemia, n-acetylglutamate synthase deficiency, ornithine translocase deficiency and lysinuric protein intolerance.;https://www.ema.europa.eu/en/medicines/human/EPAR/prohippur
Zinbryta;daclizumab;daclizumab;Zinbryta is indicated in adult patients for the treatment of relapsing forms of multiple sclerosis (RMS).;https://www.ema.europa.eu/en/medicines/human/EPAR/zinbryta
Fulphila;pegfilgrastim;pegfilgrastim;Reducing neutropenia in patients taking cancer treatments;https://www.ema.europa.eu/en/medicines/human/EPAR/fulphila-0
Olysio;simeprevir;simeprevir;Olysio is indicated in combination with other medicinal products for the treatment of chronic hepatitis C (CHC) in adult patients. For hepatitis C virus (HCV) genotype specific activity.;https://www.ema.europa.eu/en/medicines/human/EPAR/olysio
BTVPUR AlSap 1;bluetongue-virus serotype-1 antigen;bluetongue-virus serotype-1 antigen;Active immunisation of sheep and cattle to prevent viraemia and to reduce clinical signs caused by bluetongue virus serotype 1. Onset of immunity has been demonstrated three weeks after the primary vaccination course. The duration of immunity for cattle and sheep is one year after the primary vaccination course.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/btvpur-alsap-1
BTVPUR Alsap 8;adjuvanted bluetongue virus vaccine;bluetongue virus serotype 8 antigen;Active immunisation of sheep and cattle to prevent viraemia* and to reduce clinical signs caused by bluetongue virus serotype 8.*(below the level of detection by the validated RT-PCR method at 3.14log10 RNA copies/ml, indicating no infectious virus transmission). Onset of immunity has been demonstrated 3 weeks after the primary vaccination course. The duration of immunity for cattle and sheep is 1 year after the primary vaccination course. The duration of immunity is not yet fully established in cattle or sheep, although interim results of ongoing studies demonstrate that the duration is at least 6 months after the primary vaccination course in sheep.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/btvpur-alsap-8
BTVPUR Alsap 8;adjuvanted bluetongue virus vaccine;bluetongue virus serotype 8 antigen;Active immunisation of sheep and cattle to prevent viraemia* and to reduce clinical signs caused by bluetongue virus serotype 8.*(below the level of detection by the validated RT-PCR method at 3.14log10 RNA copies/ml, indicating no infectious virus transmission). Onset of immunity has been demonstrated 3 weeks after the primary vaccination course. The duration of immunity for cattle and sheep is 1 year after the primary vaccination course. The duration of immunity is not yet fully established in cattle or sheep, although interim results of ongoing studies demonstrate that the duration is at least 6 months after the primary vaccination course in sheep.;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/btvpur-alsap-8
Vibativ;telavancin;telavancin;Vibativ is indicated for the treatment of adults with nosocomial pneumonia including ventilator-associated pneumonia, known or suspected to be caused by methicillin-resistant Staphylococcus aureus (MRSA). Vibativ should be used only in situations where it is known or suspected that other alternatives are not suitable. Consideration should be given to official guidance on the appropriate use of antibacterial agents.;https://www.ema.europa.eu/en/medicines/human/EPAR/vibativ-0
Prandin;repaglinide;repaglinide;Repaglinide is indicated in patients with type-2 diabetes (non-insulin-dependent diabetes mellitus (NIDDM)) whose hyperglycaemia can no longer be controlled satisfactorily by diet, weight reduction and exercise. Repaglinide is also indicated in combination with metformin in type-2 diabetes patients who are not satisfactorily controlled on metformin alone. Treatment should be initiated as an adjunct to diet and exercise to lower the blood glucose in relation to meals.;https://www.ema.europa.eu/en/medicines/human/EPAR/prandin
Startvac;adjuvanted inactivated vaccine for cattle against Staphylococcus aureus, coliforms and coagulase-negative staphylococci;"Escherichia coli J5 inactivated;Staphylococcus aureus (CP8) strain SP 140 inactivated, expressing slime-associated antigenic complex";For herd immunisation of healthy cows and heifers, in dairy cattle herds with recurring mastitis problems, to reduce the incidence of sub-clinical mastitis and the incidence and the severity of the clinical signs of clinical mastitis caused by Staphylococcus aureus, coliforms and coagulase-negative staphylococci. The full immunisation scheme induces immunity from approximately day 13 after the first injection until approximately day 78 after the third injection (equivalent to 130 days post-parturition).;https://www.ema.europa.eu/en/medicines/veterinary/EPAR/startvac
Insulin Human Winthrop;insulin human;Insulin human;Diabetes mellitus where treatment with insulin is required. Insulin Human Winthrop Rapid is also suitable for the treatment of hyperglycaemic coma and ketoacidosis, as well as for achieving pre-, intra- and postoperative stabilisation in patients with diabetes mellitus.;https://www.ema.europa.eu/en/medicines/human/EPAR/insulin-human-winthrop
